# IrisCard/SetPositionList

RIGHT:&edit(,noicon){SetPositionListを編集};

**セット位置索引 [#setposition]
//本ページでは、武器、服、胸のイリスカードを記述

***武器 [#weapon]
|~No.|~名称|~レア度|~属性|~ベクトル|~備考|
|AC28-2060|[[ご当地タイニー（九州・沖縄）>IrisCard/ExIrisCard1#AC28-2060]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#FFCCCC):火|[[技術力強化>Iris/Explanation#tb_gijutu]]||
|AC28-3020|[[サンタタイニー>IrisCard/ExIrisCard1#AC28-3020]]|''C''|-|[[運搬の心得>Iris/Explanation#tb_Unpan]]||
|AC28-3060|[[ノーブルタイニー>IrisCard/ExIrisCard1#AC28-3060]]|''C''|-|[[攻撃の心得>Iris/Explanation#tb_Kogeki]]||
|AC29-3040|[[ファーイーストシティ>IrisCard/NormalIrisCard#AC29-3040]]|''C''|-|[[促成栽培>Iris/Explanation#tb_forcingculture]]||
|AC29-3080|[[トンカシティ>IrisCard/NormalIrisCard#AC29-3080]]|''C''|-|[[飛空城の達人>Iris/Explanation#tb_FlyCastle]]|服も可|
|AC30-1010|[[力を示せ！！>IrisCard/ExIrisCard1#AC30-1010]]|&COLOR(#ffa500){''R''};|-|[[アサルトエンハンス>Iris/Explanation#tb_AssaultEnhance]]||
|AC30-1020|[[緊急！Dノーザン>IrisCard/ExIrisCard1#AC30-1020]]|&COLOR(#ffa500){''R''};|-|[[スペルエンハンス>Iris/Explanation#tb_SpellEnhance]]||
|AC30-1030|[[夜のパトロール>IrisCard/ExIrisCard1#AC30-1030]]|&COLOR(#ffa500){''R''};|-|[[ブレイブエンハンス>Iris/Explanation#tb_BraveEnhance]]||
|AC30-2050|[[ディメンション琥珀の入手>IrisCard/ExIrisCard1#AC30-2050]]|&COLOR(#0000ff){''UC''};|-|[[ポテンシャルサポート>Iris/Explanation#tb_Potential]]||
|AC30-3070|[[こっそりお詫びするぞ！>IrisCard/ExIrisCard1#AC30-3070]]|''C''|-|[[運搬の心得>Iris/Explanation#tb_Unpan]]||
|AC31-0020|[[混成騎士団の隊長たち>IrisCard/ExIrisCard1#AC31-0020]]|&COLOR(#FF0099){''SR''};|-|[[スティグマータ>Iris/Explanation#tb_stigmata]]||
|AC31-1020|[[考古学者と助手>IrisCard/ExIrisCard1#AC31-1020]]|&COLOR(#ffa500){''R''};|-|[[ロックオン>Iris/Explanation#tb_LockOn]]||
|AC31-3010|[[ボクサーパンダ>IrisCard/ExIrisCard1#AC31-3010]]|''C''|-|[[オフェンシブサポート>Iris/Explanation#tb_Offensive]]||
|AC31-3020|[[クロックラビット>IrisCard/ExIrisCard1#AC31-3020]]|''C''|-|[[デスパレートアヴォイド>Iris/Explanation#tb_DesperateAvoid]]||
|AC31-3030|[[ドラゴンライダー>IrisCard/ExIrisCard1#AC31-3030]]|''C''|-|[[トップブリーダーの秘訣>Iris/Explanation#tb_topBreederhiketu]]||
|AC31-3040|[[マイスターロウ>IrisCard/ExIrisCard1#AC31-3040]]|''C''|-|[[コンバットエンジニア>Iris/Explanation#tb_CombatEngineer]]||
|AC31-3050|[[出張クエストカウンター>IrisCard/ExIrisCard1#AC31-3050]]|''C''|-|[[フロントライン>Iris/Explanation#tb_Front]]||
|AC31-3070|[[えんちゃんとしゅうくん>IrisCard/ExIrisCard1#AC31-3070]]|''C''|-|[[白銀の護手>Iris/Explanation#tb_hakugin]]||
|AC32-0010|[[フェリオン>IrisCard/ExIrisCard1#AC32-0010]]|&COLOR(#FF0099){''SR''};|-|[[トランスセンス>Iris/Explanation#tb_Transsense]]|服も可|
|~|~|~|~|[[フロントライン>Iris/Explanation#tb_Front]]|~|
|AC32-1030|[[マリオネット・スチーマー>IrisCard/ExIrisCard1#AC32-1030]]|&COLOR(#ffa500){''R''};|-|[[アーマードエンハンス>Iris/Explanation#tb_ArmoredEnhance]]||
|AC32-2010|[[ブルとフシギ団団員一行>IrisCard/ExIrisCard1#AC32-2010]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#CC99FF):闇|[[技術力強化>Iris/Explanation#tb_gijutu]]||
|AC32-2020|[[トンカ調査団一行>IrisCard/ExIrisCard1#AC32-2020]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#CCFFFF):光|[[知力強化>Iris/Explanation#tb_tiryoku]]||
|AC32-2030|[[ジェネラルゴーレム>IrisCard/ExIrisCard1#AC32-2030]]|&COLOR(#0000ff){''UC''};|-|[[灰燼の招手>Iris/Explanation#tb_kaijin]]||
|AC32-3020|[[カッカラン>IrisCard/ExIrisCard1#AC32-3020]]|''C''|-|[[体力強化>Iris/Explanation#tb_tairyoku]]||
|~|~|~|~|[[鳥種族ボーナス>Iris/Explanation#tb_BirdBonus]]|~|
|AC32-3030|[[マーシナリー・ヒラーワ>IrisCard/ExIrisCard1#AC32-3030]]|''C''|-|[[アーマードエンハンス>Iris/Explanation#tb_ArmoredEnhance]]||
|AC32-3070|[[カーマイン名物のお面屋>IrisCard/ExIrisCard1#AC32-3070]]|''C''|-|[[技術力強化>Iris/Explanation#tb_gijutu]]||
|~|~|~|~|[[機械種族ボーナス>Iris/Explanation#tb_MachineBonus]]|~|
|AC32-3080|[[カーマイン名物のお土産屋>IrisCard/ExIrisCard1#AC32-3080]]|''C''|-|[[技術力強化>Iris/Explanation#tb_gijutu]]||
|~|~|~|~|[[岩種族ボーナス>Iris/Explanation#tb_RockBonus]]|~|
|AC33-0010|[[紙芝居屋>IrisCard/NormalIrisCard#AC33-0010]]|&COLOR(#FF0099){''SR''};|-|[[記憶の書架>Iris/Explanation#tb_bookshelves]]|服/胸も可|
|AC33-1010|[[イリス博士>IrisCard/NormalIrisCard#AC33-1010]]|&COLOR(#ffa500){''R''};|-|[[憑依の基礎>Iris/Explanation#tb_transBasic]]||
|AC33-2010|[[エンジェルフェザー・アルマ>IrisCard/NormalIrisCard#AC33-2010]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#CCFFFF):光|[[慈愛の加護>Iris/Explanation#tb_jiai]]||
|AC33-2020|[[モーモー・アルマ>IrisCard/NormalIrisCard#AC33-2020]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#99FFCC):土|[[豊作>Iris/Explanation#tb_housaku]]||
|~|~|~|~|[[促成栽培>Iris/Explanation#tb_forcingculture]]|~|
|AC33-2030|[[ネクロアーマー・アルマ>IrisCard/NormalIrisCard#AC33-2030]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#CC99FF):闇|[[アーマープラス>Iris/Explanation#tb_armorPlus]]||
|AC33-2040|[[アンブレラ・アルマ>IrisCard/NormalIrisCard#AC33-2040]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#FFCCCC):火|[[ウェポンプラス>Iris/Explanation#tb_weaponPlus]]||
|AC33-2050|[[ココッコー・アルマ>IrisCard/NormalIrisCard#AC33-2050]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#99CCFF):水|[[真心の絆>Iris/Explanation#tb_tiesofcordiality]]||
|AC33-2090|[[テンタクル・アルマ>IrisCard/NormalIrisCard#AC33-2090]]|&COLOR(#0000ff){''UC''};|-|[[ピュアテイスト>Iris/Explanation#tb_pureTaste]]||
|AC33-2110|[[ドラッキー・アルマ>IrisCard/NormalIrisCard#AC33-2110]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#FFFF99):風|[[斬鉄の心得>Iris/Explanation#tb_zantetu]]||
|AC33-3020|[[なんでもクエストカウンター>IrisCard/NormalIrisCard#AC33-3020]]|''C''|-|[[交渉の心得>Iris/Explanation#tb_Negotiation]]|服も可|
|AC34-0020|[[２足歩行ロボ（強化外装）>IrisCard/ExIrisCard1#AC34-0020]]|&COLOR(#FF0099){''SR''};|-|[[コンバットエンジニア>Iris/Explanation#tb_CombatEngineer]]|服も可|
|AC34-1010|[[ライドクローラー>IrisCard/ExIrisCard1#AC34-1010]]|&COLOR(#ffa500){''R''};|-|[[デスパレートアヴォイド>Iris/Explanation#tb_DesperateAvoid]]|服も可|
|AC34-1030|[[空飛ぶコウモリ傘>IrisCard/ExIrisCard1#AC34-1030]]|&COLOR(#ffa500){''R''};|-|[[漆黒の徨手>Iris/Explanation#tb_sikkoku]]||
|AC34-2020|[[ココッコーおさんぽ軍団>IrisCard/ExIrisCard1#AC34-2020]]|&COLOR(#0000ff){''UC''};|-|[[白銀の護手>Iris/Explanation#tb_hakugin]]||
|AC34-2030|[[悪魔機甲ファウスト>IrisCard/ExIrisCard1#AC34-2030]]|&COLOR(#0000ff){''UC''};|-|[[スティグマータ>Iris/Explanation#tb_stigmata]]||
|AC34-3020|[[海賊船・マーチャント号>IrisCard/ExIrisCard1#AC34-3020]]|''C''|-|[[体力強化>Iris/Explanation#tb_tairyoku]]|服も可|
|AC34-3060|[[インス神輿>IrisCard/ExIrisCard1#AC34-3060]]|''C''|-|[[スタミナリダクション>Iris/Explanation#tb_staminareduction]]||
|AC34-3070|[[おでかけタイニー（抹茶）>IrisCard/ExIrisCard1#AC34-3070]]|''C''|-|[[マジックリダクション>Iris/Explanation#tb_magicreduction]]||
|AC35-1010|[[ダゴン>IrisCard/ExIrisCard1#AC35-1010]]|&COLOR(#ffa500){''R''};|-|[[トランスセンス>Iris/Explanation#tb_Transsense]]||
|AC35-2070|[[アヴァドンスコーピオ>IrisCard/ExIrisCard1#AC35-2070]]|&COLOR(#0000ff){''UC''};|-|[[奈落の番人>Iris/Explanation#tb_narakuGuard]]||
|AC35-3010|[[奈落階層調査員ロメール>IrisCard/ExIrisCard1#AC35-3010]]|''C''|-|[[ロックオン>Iris/Explanation#tb_LockOn]]||
|AC36-0010|[[ジョーカー>IrisCard/ExIrisCard1#AC36-0010]]|&COLOR(#FF0099){''SR''};|-|[[コンビネーションアドバンス>Iris/Explanation#tb_combinationAdvance]]||
|AC36-1010|[[るぴ>IrisCard/ExIrisCard1#AC36-1010]]|&COLOR(#ffa500){''R''};|-|[[マルチプロテクション>Iris/Explanation#tb_multiProtection]]||
|AC36-1040|[[にあ>IrisCard/ExIrisCard1#AC36-1040]]|&COLOR(#ffa500){''R''};|-|[[アーマードエンハンス>Iris/Explanation#tb_ArmoredEnhance]]||
|~|~|~|~|[[体力強化>Iris/Explanation#tb_tairyoku]]|~|
|AC36-2010|[[ガーディアン>IrisCard/ExIrisCard1#AC36-2010]]|&COLOR(#0000ff){''UC''};|-|[[アサルトエンハンス>Iris/Explanation#tb_AssaultEnhance]]||
|AC36-2030|[[ストライダー>IrisCard/ExIrisCard1#AC36-2030]]|&COLOR(#0000ff){''UC''};|-|[[ブレイブエンハンス>Iris/Explanation#tb_BraveEnhance]]||
|AC36-3020|[[イレイザー>IrisCard/ExIrisCard1#AC36-3020]]|''C''|-|[[スティグマータ>Iris/Explanation#tb_stigmata]]||
|AC37-3020|[[２時間目>IrisCard/NormalIrisCard#AC37-3020]]|''C''|-|[[ピュアテイスト>Iris/Explanation#tb_pureTaste]]|服も可|
|AC38-0020|[[スーパーアイドル・デイジー>IrisCard/ExIrisCard1#AC38-0020]]|&COLOR(#FF0099){''SR''};|-|[[マリオネットの守護>Iris/Explanation#tb_MarionetteSyugo]]||
|AC38-2020|[[フォックスブラザーズ>IrisCard/ExIrisCard1#AC38-2020]]|&COLOR(#0000ff){''UC''};|-|[[コンビネーションアドバンス>Iris/Explanation#tb_combinationAdvance]]||
|AC38-3010|[[インペリアルバイク（赤）>IrisCard/ExIrisCard1#AC38-3010]]|''C''|-|[[ファストサポート>Iris/Explanation#tb_fast]]|服も可|
|AC38-3020|[[通学用電動自動二輪>IrisCard/ExIrisCard1#AC38-3020]]|''C''|-|[[インテリジェンスサポート>Iris/Explanation#tb_Intelligence]]|武器も可|
|AC38-3030|[[傀儡のスフィンクス>IrisCard/ExIrisCard1#AC38-3030]]|''C''|-|[[ヒーティングサポート>Iris/Explanation#tb_heating]]|服も可|
|AC38-3040|[[ファンタジア・ビブリオ>IrisCard/ExIrisCard1#AC38-3040]]|''C''|-|[[ポテンシャルサポート>Iris/Explanation#tb_]]|服も可|
|AC38-3050|[[浪漫の人力車>IrisCard/ExIrisCard1#AC38-3050]]|''C''|-|[[オフェンシブサポート>Iris/Explanation#tb_Potential]]|服も可|
|AC38-3060|[[暗黒劇場>IrisCard/ExIrisCard1#AC38-3060]]|''C''|-|[[アウェイクサポート>Iris/Explanation#tb_awake]]|服も可|
|AC38-3070|[[フライングパンプキン>IrisCard/ExIrisCard1#AC38-3070]]|''C''|-|[[リフレッシュサポート>Iris/Explanation#tb_refresh]]|服も可|
|AC38-3080|[[遊泳のガラス球>IrisCard/ExIrisCard1#AC38-3080]]|''C''|-|[[ディスペルサポート>Iris/Explanation#tb_dispel]]|服も可|
|AC39-5020|[[ロア全員集合！>IrisCard/NormalIrisCard#AC39-5020]]|&COLOR(#ffa500){''R''};|-|[[記憶の書架>Iris/Explanation#tb_bookshelves]]|胸も可|
|AC39-6010|[[御魂・ミコト>IrisCard/NormalIrisCard#AC39-6010]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#99CCFF):水|-|服も可|
|AC39-6030|[[御魂・ライ>IrisCard/NormalIrisCard#AC39-6030]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#FFFF99):風|-|服も可|
|AC39-6040|[[御魂・キリエ>IrisCard/NormalIrisCard#AC39-6040]]|&COLOR(#0000ff){''UC''};|-|[[真心の絆>Iris/Explanation#tb_tiesofcordiality]]||
|AC39-6050|[[御魂・セレス>IrisCard/NormalIrisCard#AC39-6050]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#CC99FF):闇|-|服も可|
|AC39-6060|[[御魂・ルリ>IrisCard/NormalIrisCard#AC39-6060]]|&COLOR(#0000ff){''UC''};|-|[[パートナーの護り>Iris/Explanation#tb_guardOfPartner]]|服も可|
|AC39-6070|[[御魂・フォルテ>IrisCard/NormalIrisCard#AC39-6070]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#CCFFFF):光|-|服も可|
|AC39-6080|[[御魂・エリーゼ>IrisCard/NormalIrisCard#AC39-6080]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#99FFCC):土|-|服も可|
|AC39-6100|[[御魂・ナナイ>IrisCard/NormalIrisCard#AC39-6100]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#FFCCCC):火|-|服も可|
|AC39-6110|[[御魂・リーリエ>IrisCard/NormalIrisCard#AC39-6110]]|&COLOR(#0000ff){''UC''};|-|[[パートナーの援け>Iris/Explanation#tb_helpOfPartner]]|胸も可|
|AC39-7020|[[クリエ>IrisCard/NormalIrisCard#AC39-7020]]|''C''|-|[[パートナーの援け>Iris/Explanation#tb_helpOfPartner]]||
|AC39-7030|[[フェネアン＆シュレム>IrisCard/NormalIrisCard#AC39-7030]]|''C''|-|[[仲間との絆>Iris/Explanation#tb_tiesOfFriend]]|服も可|
|AC40-1020|[[エイダに加勢しろ>IrisCard/ExIrisCard1#AC40-1020]]|&COLOR(#ffa500){''R''};|-|[[フロントライン>Iris/Explanation#tb_Front]]||
|AC40-1030|[[シュタイン博士を守れ！>IrisCard/ExIrisCard1#AC40-1030]]|&COLOR(#ffa500){''R''};|-|[[コンバットエンジニア>Iris/Explanation#tb_CombatEngineer]]|服も可|
|AC40-2030|[[謎の人物、アイゼン・ナーゲル>IrisCard/ExIrisCard1#AC40-2030]]|&COLOR(#0000ff){''UC''};|-|[[アーマードエンハンス>Iris/Explanation#tb_ArmoredEnhance]]||
|AC40-3010|[[ベリアルと共にシンボルを守れ>IrisCard/ExIrisCard1#AC40-3010]]|&COLOR(#0000ff){''UC''};|-|[[アサルトエンハンス>Iris/Explanation#tb_AssaultEnhance]]||
|AC40-3030|[[ルルイエを守れ！>IrisCard/ExIrisCard1#AC40-3030]]|''C''|-|[[スペルエンハンス>Iris/Explanation#tb_SpellEnhance]]||
|AC40-3040|[[偽物を討伐せよ！>IrisCard/ExIrisCard1#AC40-3040]]|''C''|-|[[ブレイブエンハンス>Iris/Explanation#tb_BraveEnhance]]||
|AC40-3060|[[母体ＤＥＭの討伐>IrisCard/ExIrisCard1#AC40-3060]]|''C''|BGCOLOR(#CCFFFF):光|[[コンビネーションアドバンス>Iris/Explanation#tb_combinationAdvance]]||
|AC40-3090|[[門番を倒せ>IrisCard/ExIrisCard1#AC40-3090]]|''C''|-|[[ダメージコントロール>Iris/Explanation#tb_damageControl]]||
|AC40-3100|[[待ち伏せていた敵を殲滅せよ>IrisCard/ExIrisCard1#AC40-3100]]|''C''|-|[[イベイジョンステップ>Iris/Explanation#tb_evasionstep]]||

***服 [#dress]
|~No.|~名称|~レア度|~属性|~ベクトル|~備考|
|LEFT:|CENTER:|CENTER:|CENTER:55|CENTER:|CENTER:150|c
|AC00-0001|[[君と僕のイリス>IrisCard/NormalIrisCard#AC00-0001]]|&COLOR(#ff0000){''SP''};|-|[[基礎体力強化>Iris/Explanation#tb_hpup]]|武器/胸も可|
|AC00-0002|[[悠久の楽園>IrisCard/NormalIrisCard#AC00-0002]]|&COLOR(#ff0000){''SP''};|-|[[悠久の楽園>Iris/Explanation#tb_rakuen]]|武器/胸も可|
|AC00-0003|[[お祭り！タイニー神輿>IrisCard/NormalIrisCard#AC00-0003]]|&COLOR(#ff0000){''SP''};|-|[[お祭り！タイニー神輿>Iris/Explanation#tb_mikoshi]]|武器/胸も可|
|AC00-0004|[[三人娘のお出迎え>IrisCard/NormalIrisCard#AC00-0004]]|&COLOR(#ff0000){''SP''};|BGCOLOR(BLACK):COLOR(WHITE):ALL|CENTER:-|武器/胸も可|
|AC00-0005|[[偽りの神と機械の記憶>IrisCard/NormalIrisCard#AC00-0005]]|&COLOR(#ff0000){''SP''};|-|[[偽りの神と機械の記憶>Iris/Explanation#tb_SAGA10]]|武器/胸も可|
|AC00-0006|[[天空のオープンカフェ>IrisCard/NormalIrisCard#AC00-0006]]|&COLOR(#ff0000){''SP''};|-|[[天空のオープンカフェ>Iris/Explanation#tb_opencafe]]|武器/胸も可|
|AC00-0007|[[ＥＣＯカー「プリムラ」>IrisCard/NormalIrisCard#AC00-0007]]|&COLOR(#ff0000){''SP''};|-|[[ＥＣＯカー「プリムラ」>Iris/Explanation#tb_ecocar]]|武器/胸も可|
|AC00-0008|[[あそびにいくヨ！>IrisCard/NormalIrisCard#AC00-0008]]|&COLOR(#ff0000){''SP''};|-|[[あそびにいくヨ！>Iris/Explanation#tb_asobiniikuyo]]|武器/胸も可|
|AC00-0010|[[メイド・ヒロインズ>IrisCard/NormalIrisCard#AC00-0010]]|&COLOR(#ff0000){''SP''};|-|[[ヒロインズパーティ>Iris/Explanation#tb_heroineparty]]|武器/胸も可|
|AC00-0011|[[みんなで転生しちゃおう！>IrisCard/NormalIrisCard#AC00-0011]]|&COLOR(#ff0000){''SP''};|-|[[みんなで転生しちゃおう！>Iris/Explanation#tb_trans_cp]]|武器/胸も可|
|AC00-0012|[[仲良しノービス＆プルルとポリン>IrisCard/NormalIrisCard#AC00-0012]]|&COLOR(#ff0000){''SP''};|-|[[仲良しノービス>Iris/Explanation#tb_nakayoshiNovice]]|武器/胸も可|
|AC00-0013|[[ロッテのおもちゃ！とネコマタ>IrisCard/NormalIrisCard#AC00-0013]]|&COLOR(#ff0000){''SP''};|-|[[ヒロインズパーティ>Iris/Explanation#tb_heroineparty]]|武器/胸も可|
|AC00-0014|[[ロッテのおもちゃ！とタイニー>IrisCard/NormalIrisCard#AC00-0014]]|&COLOR(#ff0000){''SP''};|-|[[ロッテのおもちゃ！>Iris/Explanation#tb_lotteomocha]]|武器/胸も可|
|AC00-0015|[[拓かれる大地>IrisCard/NormalIrisCard#AC00-0015]]|&COLOR(#ff0000){''SP''};|-|[[フェスティバル！>Iris/Explanation#tb_pazdra]]|武器/胸も可|
|AC00-0017|[[魔法少女まどか☆マギカ>IrisCard/NormalIrisCard#AC00-0017]]|&COLOR(#ff0000){''SP''};|-|[[魔法少女まどか☆マギカ>Iris/Explanation#tb_madoka1]]|武器/胸も可|
|AC00-0018|[[まどか☆マギカ>IrisCard/NormalIrisCard#AC00-0018]]|&COLOR(#ff0000){''SP''};|-|[[まどか☆マギカ>Iris/Explanation#tb_madoka2]]|武器/胸も可|
|AC00-0019|[[ティティルのサポート>IrisCard/NormalIrisCard#AC00-0019]]|&COLOR(#ff0000){''SP''};|-|[[基礎体力強化>Iris/Explanation#tb_hpup]]|武器/胸も可|
|~|~|~|~|[[ジャイアントキリング>Iris/Explanation#tb_gkilling]]|~|
|~|~|~|~|[[ヒロインズパーティ>Iris/Explanation#tb_heroineparty]]|~|
|AC00-0020|[[パズドラからの来訪者たち>IrisCard/NormalIrisCard#AC00-0020]]|&COLOR(#ff0000){''SP''};|BGCOLOR(BLACK):COLOR(WHITE):火/水/土/光/闇|[[フェスティバル！>Iris/Explanation#tb_pazdra]]|武器も可|
|AC00-0021|[[にしこくん>IrisCard/NormalIrisCard#AC00-0021]]|&COLOR(#ff0000){''SP''};|-|[[にしこくん>Iris/Explanation#tb_nishiko]]|武器/胸も可|
|AC00-0022|[[ＭＩＮＤ≒０>IrisCard/NormalIrisCard#AC00-0022]]|&COLOR(#ff0000){''SP''};|-|[[ＭＩＮＤ≒０>Iris/Explanation#tb_mindzero]]|武器/胸も可|
|AC00-0023|[[なんでもECO！ザ・ワールド>IrisCard/NormalIrisCard#AC00-0023]]|&COLOR(#ff0000){''SP''};|-|[[真心の絆>Iris/Explanation#tb_tiesofcordiality]]|武器/胸も可|
|~|~|~|~|[[みんなの思い出>Iris/Explanation#tb_everybodysRecollections]]|~|
|AC00-0024|[[「劇場版モーレツ宇宙海賊」>IrisCard/NormalIrisCard#AC00-0024]]|&COLOR(#ff0000){''SP''};|-|[[モーレツ宇宙海賊>Iris/Explanation#tb_moretsu]]|武器/胸も可|
|AC00-0025|[[『電波教師』からの使者>IrisCard/NormalIrisCard#AC00-0025]]|&COLOR(#ff0000){''SP''};|-|[[電波教師>Iris/Explanation#tb_ultimateTeacher]]|武器/胸も可|
|AC00-0026|[[荒木光太郎>IrisCard/NormalIrisCard#AC00-0026]]|&COLOR(#ff0000){''SP''};|-|[[ECO×電波教師>Iris/Explanation#tb_ecoUltimateTeacher]]|武器/胸も可|
|AC00-0027|[[パズドラからの新たな来訪者>IrisCard/NormalIrisCard#AC00-0027]]|&COLOR(#ff0000){''SP''};|BGCOLOR(#CCFFFF):光|[[フェスティバル！>Iris/Explanation#tb_pazdra]]|武器も可|
|AC01-0010|[[タイタニアドラゴン（人）>IrisCard/ExIrisCard0#AC01-0010]]|&COLOR(#FF0099){''SR''};|BGCOLOR(#CCFFFF):光|[[耐久の心得>Iris/Explanation#tb_taikyuu]]||
|AC01-0020|[[ドミニオンドラゴン（人）>IrisCard/ExIrisCard0#AC01-0020]]|&COLOR(#FF0099){''SR''};|BGCOLOR(#CC99FF):闇|[[流水の心得>Iris/Explanation#tb_ryuusui]]||
|AC01-1010|[[エミルとマーシャ>IrisCard/ExIrisCard0#AC01-1010]]|&COLOR(#ffa500){''R''};|BGCOLOR(#99CCFF):水|[[耐久の心得>Iris/Explanation#tb_taikyuu]]|武器も可|
|AC01-1020|[[タイタスとティタ>IrisCard/ExIrisCard0#AC01-1020]]|&COLOR(#ffa500){''R''};|BGCOLOR(#FFFF99):風|[[流水の心得>Iris/Explanation#tb_ryuusui]]|武器も可|
|AC01-1030|[[べリアルとルルイエ>IrisCard/ExIrisCard0#AC01-1030]]|&COLOR(#ffa500){''R''};|BGCOLOR(#FFCCCC):火|[[斬鉄の心得>Iris/Explanation#tb_zantetu]]|武器も可|
|AC01-2010|[[マリオネット・エレキテル>IrisCard/ExIrisCard0#AC01-2010]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#FFFF99):風|-||
|AC01-2020|[[マリオネット・インスマウス>IrisCard/ExIrisCard0#AC01-2020]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#99CCFF):水|-||
|AC01-2030|[[マリオネット・サラマンドラ>IrisCard/ExIrisCard0#AC01-2030]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#FFCCCC):火|-||
|AC01-2040|[[マリオネット・マンドラゴラ>IrisCard/ExIrisCard0#AC01-2040]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#99FFCC):土|-||
|AC01-3060|[[シナモン>IrisCard/ExIrisCard0#AC01-3060]]|''C''|BGCOLOR(#CCFFFF):光|[[耐久の心得>Iris/Explanation#tb_taikyuu]]||
|AC01-3080|[[イリミネーター>IrisCard/ExIrisCard0#AC01-3080]]|''C''|-|[[耐久の心得>Iris/Explanation#tb_taikyuu]]||
|AC01-3090|[[交易都市アクロポリス>IrisCard/ExIrisCard0#AC01-3090]]|''C''|BGCOLOR(#99FFCC):土|[[流水の心得>Iris/Explanation#tb_ryuusui]]||
|AC01-5020|[[最強の魔獣>IrisCard/NormalIrisCard#AC01-5020]]|&COLOR(#ffa500){''R''};|BGCOLOR(#99FFCC):土|[[基礎体力強化>Iris/Explanation#tb_hpup]]||
|AC01-6010|[[幹部のブル>IrisCard/NormalIrisCard#AC01-6010]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#FFCCCC):火|[[基礎知力強化>Iris/Explanation#tb_mpup]]||
|AC01-6020|[[フシギ団の懲りない面々>IrisCard/NormalIrisCard#AC01-6020]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#FFCCCC):火|[[ジャイアントキリング>Iris/Explanation#tb_gkilling]]||
|AC01-6040|[[聖女のシマのヨーコさん>IrisCard/NormalIrisCard#AC01-6040]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#99CCFF):水|[[基礎技術力強化>Iris/Explanation#tb_spup]]||
|AC01-7010|[[休憩中のエミル>IrisCard/NormalIrisCard#AC01-7010]]|''C''|BGCOLOR(#99FFCC):土|-|武器も可|
|AC01-7020|[[祈るマーシャ>IrisCard/NormalIrisCard#AC01-7020]]|''C''|BGCOLOR(#99CCFF):水|-|武器も可|
|AC01-7030|[[図書館のタイタス>IrisCard/NormalIrisCard#AC01-7030]]|''C''|BGCOLOR(#FFFF99):風|-|武器も可|
|AC01-7040|[[青空のティタ>IrisCard/NormalIrisCard#AC01-7040]]|''C''|BGCOLOR(#CCFFFF):光|-|武器も可|
|AC01-7050|[[竜と駆けるベリアル>IrisCard/NormalIrisCard#AC01-7050]]|''C''|BGCOLOR(#FFCCCC):火|-|武器も可|
|AC01-7060|[[休日のルルイエ>IrisCard/NormalIrisCard#AC01-7060]]|''C''|BGCOLOR(#CC99FF):闇|-|武器も可|
|AC01-7090|[[モーモー>IrisCard/NormalIrisCard#AC01-7090]]|''C''|-|[[基礎体力強化>Iris/Explanation#tb_hpup]]||
|AC02-0020|[[謎の少年少女>IrisCard/ExIrisCard0#AC02-0020]]|&COLOR(#FF0099){''SR''};|-|[[耐久の心得>Iris/Explanation#tb_taikyuu]]||
|AC02-1010|[[ブリキングMkII>IrisCard/ExIrisCard0#AC02-1010]]|&COLOR(#ffa500){''R''};|BGCOLOR(#CCFFFF):光|[[絶投の極意>Iris/Explanation#tb_zettou]]|限定　武器の種別：投擲|
|AC02-2020|[[ニーベルングのヘアサロン>IrisCard/ExIrisCard0#AC02-2020]]|&COLOR(#0000ff){''UC''};|-|[[流水の心得>Iris/Explanation#tb_ryuusui]]||
|AC02-3020|[[ギャンブラー>IrisCard/ExIrisCard0#AC02-3020]]|''C''|-|[[絶投の極意>Iris/Explanation#tb_zettou]]|限定　武器の種別：投擲|
|AC02-3030|[[復活の戦士>IrisCard/ExIrisCard0#AC02-3030]]|''C''|-|[[アーマービルダー>Iris/Explanation#tb_armor]]||
|AC02-3080|[[天まで続く塔>IrisCard/ExIrisCard0#AC02-3080]]|''C''|-|[[絶投の極意>Iris/Explanation#tb_zettou]]|限定　武器の種別：投擲|
