# MobDimension

#author("2022-06-27T18:32:25+00:00","","")
*モンスター（ディメンションダンジョン） [#nf147153]
#contents
#include(MobMenu,notitle)

-ドロップ品凡例
--&color(orange){オレンジ色};：知識があると出やすいもの
--&color(red){赤色};：知識が無ければ出ないもの
--&color(slateblue){紫色};：極めて稀なもの
--&color(#cccccc){灰色};：未確定のもの（情報待ち保留中です）

**エミル世界[#DimensionEmil]

***ディメンション廃炭鉱 [#Haitankou]
|~画像|~名前|~LV|~HP|~Exp/Job|~属性|~性格|~出現場所|~ドロップ品|~使用スキル|~その他|h
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/mercenary_farce.jpg,nolink,100x100);|D-マーシナリー・ファース|115|265,500|0/256,900|BGCOLOR(#c4adff):闇|Active|2F|高級ヒールポーション&br;&color(orange){ディメンション砂石};&br;壊れた白い武器&br;ブランクイリスカード&br;&color(red){濃縮エナジーポーション};|マジックポイズン&br;衝撃波&br;兜割り&br;ファランクス||
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/muhandis.jpg,nolink,100x100);|D-ムハンディス|114|320,000|0/285,000|BGCOLOR(#ffdddd):火|Active|2F|&color(orange){ディメンション砂石};&br;高級ヒールポーション&br;マルチコンディション&br;ブランクイリスカードUC|リフレクションウォール&br;オブセッション&br;ソリッドオーラ&br;スーパーファイアストーム&br;アブリテレイションワン&br;ファイアアート|長射程&br;ファイアアートは死亡時にのみ発動|
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/gaikotsumuri.jpg,nolink,100x100);|D-ガイコツムリ|120|255,000|0/285,000|BGCOLOR(#c4adff):闇|Active|B1F|&color(orange){ディメンション砂石};&br;&color(orange){リザレクションポーション};&br;ブランクイリスカードUC|ヴァニッシュメント&br;ハウルアウト&br;リストリクトリバース&br;マナクル&br;ブラックアート|アンデッド|
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/skelton_sniper.jpg,nolink,100x100);|D-スケルトンスナイパー|120|198,500|0/240,820|BGCOLOR(#c4adff):闇|Active|B1F|&color(orange){ディメンション砂石};&br;高級マジックポーション&br;&color(orange){ブランクイリスカード};|ウインドアロー&br;ウォーターアロー&br;アースアロー&br;ダークネスアロー&br;キンドルアロー|アンデッド|
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/cyclops_ghoul.jpg,nolink,100x100);|D-サイクロプスグール|123|233,500|0/256,500|BGCOLOR(#c4adff):闇|Active|B1F|&color(orange){ディメンション砂石};&br;高級スタミナポーション&br;マルチコンディション&br;&color(orange){ブランクイリスカード};|アブリテレイション&br;ハウルアウト&br;ハイパーチャージ&br;足払い&br;兜割り|アンデッド|
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/kubbaran_ghoul.jpg,nolink,100x100);|D-クッバラングール|124|334,500|0/266,400|BGCOLOR(#c4adff):闇|Active&br;→瀕死時Escape+Active|B1F|&color(orange){ディメンション砂石};&br;最高級ヒールポーション&br;&color(orange){テリヤキ};&br;ブランクイリスカード|ダークファング&br;ロラン&br;ブラックホール&br;スタンブロウ|アンデッド|
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/dragon_ghoul.jpg,nolink,100x100);|D-ドラゴングール|125|365,000|0/310,250|BGCOLOR(#ffdddd):火|Active|B1F|&color(orange){ディメンション砂石};&br;毒薬&br;最高級ヒールポーション&br;&color(orange){ブランクイリスカード};|怒&br;チャージ&br;ファイアランチャー&br;ファランクス&br;スーパーファイアストーム|アンデッド|
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/sphinx.jpg,nolink,100x100);|D-スフィンクス|127|625,500|0/549,150|BGCOLOR(#98fb98):土|Active|B1F|&color(orange){ディメンション砂石};&br;最高級ヒールポーション&br;ブランクイリスカード&br;&color(red){折れた杖};|アシッドウェポン&br;アシッドミスト&br;アースパウダー&br;アースクライ||
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/szeapankh.jpg,nolink,100x100);|D-シェアプアンク|127|598,500|0/542,850|BGCOLOR(#ffdddd):火|Active|B1F|&color(orange){ディメンション砂石};&br;最高級ヒールポーション&br;ブランクイリスカード&br;&color(red){ブランクイリスカードUC};|ディバインバリア&br;スタンブロウ&br;バードケージ&br;デクライズインパクト||
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/wise_sphinx.jpg,nolink,100x100);|D-ワイズスフィンクス|130|4,550,000|0/4,000,000|BGCOLOR(#ffdddd):火|Active|B1F|ディメンション砂石&br;最高級ヒールポーション&br;&color(orange){ブランクイリスカードR};|コロナ&br;ダークブレイズ&br;メガダークブレイズ&br;ファランクス&br;リストリクトリバース|BOSS属性&br;透明状態を見破る|
||ロスタリカッカボム||300000|||Escape|1F東居住区|テリヤキ|ブラスターアート&br;ヴァニッシュメント（死亡時）|ロストデカッカランの取り巻き&br;一度に10体召喚される&br;出現から5秒後に自爆&br;自爆は土魔法ダメージ&br;ダメージはボムの残るHPの数字分&br;ブラスターアートはヴァニッシュメントの効果も付与されている|
||ロストデカッカラン|120|35,000,000|35,000,000/35,000,000|BGCOLOR(#c4adff):闇|Active|1F東居住区|濃縮リザレクションポーション&br;ブランクイリスカードSR&br;タイニーレインボーメダル&br;&color(red){背負い魔・ブースト};&br;&color(orange){【真】雷神ピアス（黒）};|ロックシュトローム（常時）&br;　&br;HP70%～100%&br;　アーマーキャプチャー&br;　ディバインバリア&br;　ソウルブレイク&br;　&br;HP50%～70%&br;　ドップ&br;　リフレクション&br;　ディバインバリア&br;　メガダークブレイズ&br;　ソウルブレイク&br;　&br;HP30%～HP50%&br;　セルフミラー（30秒持続,短詠唱）&br;　アビス&br;　ハウルアウト&br;　ダークネスグレアー&br;　&br;HP0%～30%&br;　セルフミラー&br;　アビス&br;　ロックグレアー&br;　インバリデイトフレーム&br;　ソウルブレイク&br;　&br;死亡時&br;　ブラックアート|BOSS&br;取り巻き：ロスタリカッカボム&br;25秒ごとに取り巻き召喚&br;高M.ATK&br;高C.SPD&br;低クリ回避|
||ワイティーカッカボム||||土？|Active|1F西居住区|テリヤキ|ファランクス&br;憑依者封印&br;ブラックアート&br;ヴァニッシュメント|ホワイトデカッカランの取り巻き&br;召喚から10秒経過で索敵、15秒経過で自爆&br;ブラックアートにはヴァニッシュメント効果つき|
||ホワイトデカッカラン|120||35,000,000/35,000,000|BGCOLOR(#ffffff):光|Active|1F西居住区|濃縮リザレクションポーション&br;タイニーレインボーメダル&br;ブランクイリスカードSR&br;&color(red){背負い魔・ブースト};&br;&color(orange){【真】雷神ピアス（白）};|常時&br;　ロックシュトローム&br;HP70%～100%&br;　アーマキャプチャー&br;　ディバインバリア&br;　エンジェルリング&br;HP50%～70%&br;　ドップ&br;　リフレクション&br;　ハウルアウト&br;　エンジェルリング&br;HP30%～50%&br;　セルフミラー&br;　アースクライ&br;　ハウルアウト&br;　セイントグレアー&br;HP0%～HP30%&br;　セルフミラー（30秒持続,短詠唱）&br;　ゼーレゲリヒト&br;　ロックグレアー&br;　ディバインブレーカー&br;　インバリデイトフレーム&br;死亡時&br;　セイントアート？|BOSS&br;取り巻き：ワイティーカッカボム&br;高魔法抵抗&br;高C.SPD&br;低クリ回避&br;少々の奈落補正あり|
||ジノの影||12,800,000||||1F中央|ディメンション砂石(PT)&br;最高級ヒールポーション(PT)|フリージングウェーブ（召喚時）&br;アースランチャー&br;メイルシュトローム（1WAY）&br;ハウルアウト&br;カオスマーチ&br;インバリデイトフレーム&br;ブラスターアート（死亡時）|微睡のジノの取り巻き&br;自爆にはハウリングスクイーザー効果あり&br;最大MPSPの1.3倍量を減らす&br;交戦状態に入ると一定時間後に自動で自爆？&br;奈落補正のようなダメージカットあり|
||微睡のジノ|134||0/360,000,000|BGCOLOR(#98fb98):土|Active|1F中央|濃縮リザレクションポーション(PT)&br;ジュエル・ゴールド(PT)&br;タイニーレインボーメダル(PT)&br;【真】雷神ピアス（白）&br;&color(red){【真】雷神ピアス（黒）};&br;&color(orange){ホワイトカッカラン};|憑依者封印&br;リフレクション&br;セルフミラー&br;ハウルアウト&br;アースクライ&br;メガダークブレイズ&br;見切り&br;アビス&br;ソウルプランダー&br;デクライズウエポン&br;コロナ&br;ファイアランチャー&br;アブソリューションジョルト&br;咆哮&br;ブラストグレアー&br;コールドグレアー&br;フリージングウェーブ&br;インバリデイトフレーム&br;天中殺&br;バロウアマーラ|BOSS&br;取り巻き：ジノの影3体&br;取り巻き2体以下で再召喚&br;残りHP量で使用スキルが変化&br;状態異常トリガー持ち&br;対象が特定の状態異常の際に&br;ジリオンスマイト（射程5　範囲3*3）を使用&br;奈落補正のようなダメージカットあり&br;透明状態を見破る&br;M.ATK32000|

***ディメンション神託の風穴 [#Sintaku]
※共通して除去不能(フェンリルLv1等は無効)
※PDの場合レア枠がスキルスクロールに代わる
#mobdb(habitat=0-2-7)


**タイタニア世界[#DimensionTaita]
***ディメンション海底洞窟 [#D-Kaiteidoukutu]
※水牢前からスタート
#mobdb(id=1493/1494/1495/1496/1497/1503/1504/1490/1491/1492/1500/1507/1498/1499/1501/1502/1505/1506/1508/1511/1509/1510/1513/1512)
