# Iris/Ability/Table

#author("2017-04-27T15:44:05+00:00","","")
RIGHT:&edit(,noicon){アビリティベクトル表を編集};

***戦闘用・ステータス変化等 [#tb_Battle]
|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|c
|[[スペルエンハンス>Iris/Find/Vector#SpellEnhance]]&br;(SU系専用)|&aname(tb_SpellEnhance);COLOR(#FF6600):M.ATK％上昇|''5%''|''8%''|8%|8%|''13%''|13%|''15%''|''17%''|17%|''20%''|
|~|COLOR(#555555):被物理ダメージ％減少|-|-|''8%''|8%|8%|''10%''|10%|10%|''15%''|15%|
|~|COLOR(#FF6600):M.ATK値＋上昇|-|-|-|''+25''|+25|+25|+25|+25|+25|+25|
|||||||||||||
|[[ブレイブエンハンス>Iris/Find/Vector#BraveEnhance]]&br;(BP系専用)|&aname(tb_BraveEnhance);COLOR(#FF6600):ATK％上昇|''5%''|5%|''10%''|10%|''12%''|12%|''15%''|15%|''20%''|20%|
|~|COLOR(#FF6600):M.ATK％上昇|-|''5%''|5%|''10%''|10%|''12%''|12%|''15%''|15%|''20%''|
|||||||||||||
|[[アーマードエンハンス>Iris/Find/Vector#ArmoredEnhance]]&br;(DEM専用)|&aname(tb_ArmoredEnhance);COLOR(#FF6600):ATK％上昇|''5%''|5%|5%|5%|5%|5%|5%|15%|''20%''|20%|
|~|COLOR(#FF6600):M.ATK％上昇|-|''5%''|5%|5%|5%|5%|5%|5%|5%|''20%''|
|~|COLOR(#555555):耐久度減少確率減少|-|-|''25%''|25%|25%|''35%''|35%|35%|35%|35%|
|~|COLOR(#DDA500):スキル消費SP軽減|-|-|-|''15%''|15%|15%|''20%''|20%|20%|20%|
|~|COLOR(#AA00AA):スキル消費MP軽減|-|-|-|-|''15%''|15%|15%|''20%''|20%|20%|
|||||||||||||
|[[絶投の極意>Iris/Find/Vector#zettou]]&br;(投擲専用)|&aname(tb_zettou);COLOR(#CC3300):武器攻撃力％上昇|''5%''|''10%''|''15%''|''25%''|''40%''|''50%''|''60%''|''75%''|''85%''|''100%''|
|||||||||||||
|[[武器属性上昇（火）>Iris/Find/Vector#FireWeapon]]&br;(投擲･カード専用)|&aname(tb_FireWeapon);COLOR(#):攻撃属性値+x上昇（火）|''+6''|+6|+6|+6|''+15''|''+20''|''+28''|+28|+28|''+50''|
|~|COLOR(#FF6600):INT＋上昇|-|''+2''|+2|+2|+2|+2|+2|+2|+2|+2|
|~|COLOR(#FF8800):L.HIT値＋上昇|-|-|''+15''|+15|+15|+15|+15|''+25''|+25|+25|
|~|COLOR(#FF8800):L.HIT値％上昇|-|-|-|''10%''|10%|10%|10%|10%|''20%''|20%|
|||||||||||||
|[[武器属性上昇（水）>Iris/Find/Vector#WaterWeapon]]&br;(投擲･カード専用)|&aname(tb_WaterWeapon);COLOR(#):攻撃属性値+x上昇（水）|''+6''|+6|+6|+6|''+15''|''+20''|''+28''|+28|+28|''+50''|
|~|COLOR(#FF6600):INT＋上昇|-|''+2''|+2|+2|+2|+2|+2|+2|+2|+2|
|~|COLOR(#FF8800):L.HIT値＋上昇|-|-|''+15''|+15|+15|+15|+15|''+25''|+25|+25|
|~|COLOR(#FF8800):L.HIT値％上昇|-|-|-|''10%''|10%|10%|10%|10%|''20%''|20%|
|||||||||||||
|[[武器属性上昇（土）>Iris/Find/Vector#EarthWeapon]]&br;(投擲･カード専用)|&aname(tb_EarthWeapon);COLOR(#):攻撃属性値+x上昇（土）|''+6''|+6|+6|+6|''+15''|''+20''|''+28''|+28|+28|''+50''|
|~|COLOR(#FF6600):INT＋上昇|-|''+2''|+2|+2|+2|+2|+2|+2|+2|+2|
|~|COLOR(#FF8800):L.HIT値＋上昇|-|-|''+15''|+15|+15|+15|+15|''+25''|+25|+25|
|~|COLOR(#FF8800):L.HIT値％上昇|-|-|-|''10%''|10%|10%|10%|10%|''20%''|20%|
|||||||||||||
|[[武器属性上昇（風）>Iris/Find/Vector#WindWeapon]]&br;(投擲･カード専用)|&aname(tb_WindWeapon);COLOR(#):攻撃属性値+x上昇（風）|''+6''|+6|+6|+6|''+15''|''+20''|''+28''|+28|+28|''+50''|
|~|COLOR(#FF6600):INT＋上昇|-|''+2''|+2|+2|+2|+2|+2|+2|+2|+2|
|~|COLOR(#FF8800):L.HIT値＋上昇|-|-|''+15''|+15|+15|+15|+15|''+25''|+25|+25|
|~|COLOR(#FF8800):L.HIT値％上昇|-|-|-|''10%''|10%|10%|10%|10%|''20%''|20%|
|||||||||||||
//
//
***状態異常耐性系[#tb_AbnormalStateBlock]
|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|c
|~アビリティベクトル|~リリースアビリティ|~Lv1|~Lv2|~Lv3|~Lv4|~Lv5|~Lv6|~Lv7|~Lv8|~Lv9|~Lv10|
|~|~|BGCOLOR(#DDDDDD):~&size(11){1～};|BGCOLOR(#DDDDDD):~&size(11){30～};|BGCOLOR(#DDDDDD):~&size(11){80～};|BGCOLOR(#DDDDDD):~&size(11){150～};|BGCOLOR(#DDDDDD):~&size(11){250～};|BGCOLOR(#DDDDDD):~&size(11){370～};|BGCOLOR(#DDDDDD):~&size(11){510～};|BGCOLOR(#DDDDDD):~&size(11){660～};|BGCOLOR(#DDDDDD):~&size(11){820～};|BGCOLOR(#DDDDDD):~&size(11){999};|
|LEFT:|LEFT:130|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|c
|[[オフェンシブサポート>Iris/Find/Vector#Offensive]]|&aname(tb_Offensive);COLOR(#FF6600):ATK％上昇|''2%''|2%|2%|2%|''7%''|7%|''12%''|12%|''16%''|''20%''|
|~|COLOR(#0088CC):クリティカル％上昇|-|''3%''|3%|3%|3%|''12%''|12%|''15%''|15%|15%|
|~|COLOR(#555555):気絶耐性力上昇|-|-|''15%''|15%|15%|15%|15%|15%|15%|15%|
|~|COLOR(#4444FF):HP最大値％上昇|-|-|-|''15%''|15%|15%|15%|15%|15%|15%|
|||||||||||||
|[[ポテンシャルサポート>Iris/Find/Vector#Potential]]|&aname(tb_Potential);COLOR(#FF6600):M.ATK％上昇|''3%''|3%|3%|3%|''8%''|8%|''10%''|10%|''15%''|''17%''|
|~|COLOR(#AA00AA):MP最大値％上昇|-|''10%''|10%|10%|10%|''17%''|17%|''20%''|20%|20%|
|~|COLOR(#555555):沈黙耐性力上昇|-|-|''15%''|15%|15%|15%|15%|15%|15%|15%|
|~|COLOR(#4444FF):HP最大値％上昇|-|-|-|''15%''|15%|15%|15%|15%|15%|15%|
|||||||||||||
|[[ファストサポート>Iris/Find/Vector#fast]]|&aname(tb_fast);COLOR(#CC3300):武器攻撃力％上昇|''5%''|5%|5%|5%|''15%''|15%|''20%''|20%|''25%''|''40%''|
|~|COLOR(#555555):被物理ダメージ％減少|-|''5%''|5%|5%|5%|''10%''|10%|''15%''|15%|15%|
|~|COLOR(#555555):鈍足化耐性力上昇|-|-|''15%''|15%|15%|15%|15%|15%|15%|15%|
|~|COLOR(#4444FF):HP最大値％上昇|-|-|-|''15%''|15%|15%|15%|15%|15%|15%|
|||||||||||||
|[[インテリジェンスサポート>Iris/Find/Vector#Intelligence]]|&aname(tb_Intelligence);COLOR(#CC3300):武器攻撃力％上昇|''5%''|5%|5%|5%|''15%''|15%|''20%''|20%|''25%''|''40%''|
|~|COLOR(#555555):被魔法ダメージ％減少|-|''5%''|5%|5%|5%|''10%''|10%|''15%''|15%|15%|
|~|COLOR(#555555):混乱耐性力上昇|-|-|''15%''|15%|15%|15%|15%|15%|15%|15%|
|~|COLOR(#4444FF):HP最大値％上昇|-|-|-|''15%''|15%|15%|15%|15%|15%|15%|
|||||||||||||
|[[リフレッシュサポート>Iris/Find/Vector#refresh]]|&aname(tb_refresh);COLOR(#FF6600):ATK％上昇|''2%''|2%|2%|2%|''7%''|7%|''12%''|12%|''16%''|16%|
|~|COLOR(#0088CC):クリティカル％上昇|-|''3%''|3%|3%|3%|''12%''|12%|''15%''|15%|''20''%|
|~|COLOR(#555555):毒耐性力上昇|-|-|''15%''|15%|15%|15%|15%|15%|15%|15%|
|~|COLOR(#4444FF):HP最大値％上昇|-|-|-|''15%''|15%|15%|15%|15%|15%|15%|
|||||||||||||
|[[ディスペルサポート>Iris/Find/Vector#dispel]]|&aname(tb_dispel);COLOR(#555555):石化耐性力上昇|''3%''|''8%''|''15%''|15%|15%|15%|15%|15%|15%|15%|
|~|COLOR(#4444FF):HP最大値％上昇|-|-|-|''15%''|15%|15%|15%|15%|15%|15%|
|~|COLOR(#222288):防具防御力＋上昇|-|-|-|-|''+10''|+10|''+13''|+13|''+20''|+20|
|~|COLOR(#222288):防具防御力％上昇|-|-|-|-|-|''10％''|10%|''18%''|18%|''25%''|
|||||||||||||
|[[ヒーティングサポート>Iris/Find/Vector#heating]]|&aname(tb_heating);COLOR(#555555):氷化耐性力上昇|''5%''|''10%''|''15%''|15%|15%|15%|15%|15%|15%|15%|
|~|COLOR(#4444FF):HP最大値％上昇|-|-|-|''15%''|15%|15%|15%|15%|15%|15%|
|~|COLOR(#DDA500):スキル消費SP軽減|-|-|-|-|''5%''|5%|''10%''|10%|''15%''|15%|
|~|COLOR(#DDA500):SP最大値％上昇|-|-|-|-|-|''20％''|20%|''30%''|30%|''40%''|
|||||||||||||
|[[アウェイクサポート>Iris/Find/Vector#awake]]|&aname(tb_awake);COLOR(#555555):睡眠耐性力上昇|''3%''|''8%''|''15%''|15%|15%|15%|15%|15%|15%|15%|
|~|COLOR(#4444FF):HP最大値％上昇|-|-|-|''15%''|15%|15%|15%|15%|15%|15%|
|~|COLOR(#AA00AA):スキル消費MP軽減|-|-|-|-|''3%''|3%|''5%''|5%|''8%''|8%|
|~|COLOR(#AA00AA):MP最大値％上昇|-|-|-|-|-|''20％''|20%|''25%''|25%|''30%''|
|||||||||||||
|[[サイレンスプロテクト>Iris/Find/Vector#cilenceprotect]]|&aname(tb_cilenceprotect);COLOR(#555555):沈黙耐性力上昇|''2%''|''4%''|4%|''6%''|''8%''|8%|''10%''|''12%''|12%|''15%''|
|~|COLOR(#AA00AA):MP最大値＋上昇|-|-|''+120''|+120|+120|''+170''|+170|+170|''+200''|+200|
|||||||||||||
|[[スロウプロテクト>Iris/Find/Vector#slowprotect]]|&aname(tb_slowprotect);COLOR(#555555):鈍足化耐性力上昇|''2%''|''4%''|4%|''6%''|''8%''|8%|''10%''|''12%''|12%|''15%''|
|~|COLOR(#AA00AA):MP最大値＋上昇|-|-|''+120''|+120|+120|''+160''|+160|+160|''+200''|+200|
|||||||||||||
|[[コンフュージョンプロテクト>Iris/Find/Vector#confusionprotect]]|&aname(tb_confusionprotect);COLOR(#555555):混乱耐性力上昇|''2%''|''4%''|4%|''6%''|''8%''|8%|''10%''|''12%''|12%|''15%''|
|~|COLOR(#4444FF):HP最大値＋上昇|-|-|''+300''|+300|+300|''+500''|+500|+500|''+850''|+850|
|||||||||||||
|[[スタンプロテクト>Iris/Find/Vector#stunprotect]]|&aname(tb_stunprotect);COLOR(#555555):気絶耐性力上昇|''2%''|''4%''|4%|''6%''|''8%''|8%|''10%''|''12%''|12%|''15%''|
|~|COLOR(#DDA500):SP最大値＋上昇|-|-|''+100''|+100|+100|''+160''|+160|+160|''+200''|+200|
|||||||||||||
|[[ストーンプロテクト>Iris/Find/Vector#stoneprotect]]|&aname(tb_stoneprotect);COLOR(#555555):石化耐性力上昇|''2%''|''4%''|4%|''6%''|''8%''|8%|''10%''|''12%''|12%|''15%''|
|~|COLOR(#DDA500):SP最大値＋上昇|-|-|''+70''|+70|+70|''+100''|+100|+100|''+200''|+200|
|||||||||||||
|[[アイスプロテクト>Iris/Find/Vector#iceprotect]]|&aname(tb_iceprotect);COLOR(#555555):氷化耐性力上昇|''2%''|''4%''|4%|''6%''|''8%''|8%|''10%''|''12%''|12%|''15%''|
|~|COLOR(#4444FF):HP最大値＋上昇|-|-|''+150''|+150|+150|''+600''|+600|+600|''+900''|+900|
|||||||||||||
|[[スリーププロテクト>Iris/Find/Vector#sleepprotect]]|&aname(tb_sleepprotect);COLOR(#555555):睡眠耐性力上昇|''2%''|''4%''|4%|''6%''|''8%''|8%|''10%''|''12%''|12%|''15%''|
|~|COLOR(#AA00AA):MP最大値＋上昇|-|-|''+70''|+70|+70|''+100''|+100|+100|''+200''|+200|
|||||||||||||
|[[ポイズンプロテクト>Iris/Find/Vector#poisonprotect]]|&aname(tb_poisonprotect);COLOR(#555555):毒耐性力上昇|''3%''|''5%''|5%|''9%''|''12%''|12%|''20%''|''22%''|22%|''25%''|
|~|COLOR(#4444FF):HP最大値＋上昇|-|-|''+200''|+200|+200|''+550''|+550|+550|''+800''|+800|
|||||||||||||
|[[レジストデッドリーポイズン>Iris/Find/Vector#ResistDeadlyPoison]]|&aname(tb_resistDeadlyPoison);COLOR(#555555):毒耐性力上昇|''25%''|25%|''50%''|50%|50%|50%|50%|50%|50%|50%|
|~|COLOR(#555555):猛毒耐性力上昇|-|''50%''|50%|''100%''|100%|100%|100%|100%|100%|100%|
|~|COLOR(#555555):状態異常成功率上昇|-|-|-|-|''20%''|20%|20%|''40%''|40%|40%|
|~|COLOR(#555555):被物理ダメージ％減少|-|-|-|-|-|''7%''|7%|7%|''13%''|13%|
|~|COLOR(#555555):被魔法ダメージ％減少|-|-|-|-|-|-|''7%''|7%|7%|''13%''|
//
//
***対種族系[#tb_vsSpecies]
|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|c
|~アビリティベクトル|~リリースアビリティ|~Lv1|~Lv2|~Lv3|~Lv4|~Lv5|~Lv6|~Lv7|~Lv8|~Lv9|~Lv10|
|~|~|BGCOLOR(#DDDDDD):~&size(11){1～};|BGCOLOR(#DDDDDD):~&size(11){30～};|BGCOLOR(#DDDDDD):~&size(11){80～};|BGCOLOR(#DDDDDD):~&size(11){150～};|BGCOLOR(#DDDDDD):~&size(11){250～};|BGCOLOR(#DDDDDD):~&size(11){370～};|BGCOLOR(#DDDDDD):~&size(11){510～};|BGCOLOR(#DDDDDD):~&size(11){660～};|BGCOLOR(#DDDDDD):~&size(11){820～};|BGCOLOR(#DDDDDD):~&size(11){999};|
|LEFT:|LEFT:130|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|c
|[[植物種族キラー>Iris/Find/Vector#PlantKiller]]|&aname(tb_PlantKiller);COLOR(#CC3300):植物系攻撃ダメージ上昇|''5%''|5%|''6%''|6%|''7%''|7%|''8%''|8%|''9%''|9%|
|||||||||||||
|[[鳥種族キラー>Iris/Find/Vector#BirdKiller]]|&aname(tb_BirdKiller);COLOR(#CC3300):鳥系攻撃ダメージ上昇|''5%''|5%|''6%''|6%|''7%''|7%|''8%''|8%|''9%''|9%|
|||||||||||||
|[[動物種族キラー>Iris/Find/Vector#AnimalKiller]]|&aname(tb_AnimalKiller);COLOR(#CC3300):動物系攻撃ダメージ上昇|''5%''|5%|''6%''|6%|''7%''|7%|''8%''|8%|''9%''|9%|
|||||||||||||
|[[昆虫種族キラー>Iris/Find/Vector#InsectKiller]]|&aname(tb_InsectKiller);COLOR(#CC3300):昆虫系攻撃ダメージ上昇|''5%''|5%|''6%''|6%|''7%''|7%|''8%''|8%|''9%''|9%|
|||||||||||||
|[[水中生物種族キラー>Iris/Find/Vector#WaterAnimalKiller]]|&aname(tb_WaterAnimalKiller);COLOR(#CC3300):水中生物系攻撃ダメージ上昇|''5%''|5%|''6%''|6%|''7%''|7%|''8%''|8%|''9%''|9%|
|||||||||||||
|[[魔法生物種族キラー>Iris/Find/Vector#MagicCreatureKiller]]|&aname(tb_MagicCreatureKiller);COLOR(#CC3300):魔法生物系攻撃ダメージ上昇|''5%''|5%|''6%''|6%|''7%''|7%|''8%''|8%|''9%''|9%|
|||||||||||||
|[[死霊種族キラー>Iris/Find/Vector#UndeadKiller]]|&aname(tb_UndeadKiller);COLOR(#CC3300):死霊系攻撃ダメージ上昇|''5%''|5%|''6%''|6%|''7%''|7%|''8%''|8%|''9%''|9%|
|||||||||||||
|[[機械種族キラー>Iris/Find/Vector#MachineKiller]]|&aname(tb_MachineKiller);COLOR(#CC3300):機械系攻撃ダメージ上昇|''5%''|5%|''6%''|6%|''7%''|7%|''8%''|8%|''9%''|9%|
|||||||||||||
|[[人間種族キラー>Iris/Find/Vector#HumanKiller]]|&aname(tb_HumanKiller);COLOR(#CC3300):人間系攻撃ダメージ上昇|''5%''|5%|''6%''|6%|''7%''|7%|''8%''|8%|''9%''|9%|
|||||||||||||
|[[精霊種族キラー>Iris/Find/Vector#ElementKiller]]|&aname(tb_ElementKiller);COLOR(#CC3300):精霊系攻撃ダメージ上昇|''5%''|5%|''6%''|6%|''7%''|7%|''8%''|8%|''9%''|9%|
|||||||||||||
|[[岩種族キラー>Iris/Find/Vector#RockKiller]]|&aname(tb_RockKiller);COLOR(#CC3300):岩系攻撃ダメージ上昇|''5%''|5%|''6%''|6%|''7%''|7%|''8%''|8%|''9%''|9%|
|||||||||||||
|[[植物種族アドバンテージ>Iris/Find/Vector#PlantAdvantage]]|&aname(tb_PlantAdvantage);COLOR(#555555):植物系被攻撃ダメージ減少|''2%''|2%|2%|2%|2%|2%|''5%''|5%|''10%''|10%|
|~|COLOR(#555555):被物理ダメージ％減少|-|''4%''|4%|''6%''|6%|6%|6%|''8%''|8%|''10%''|
|~|COLOR(#0088CC):植物系クリティカル率上昇|-|-|''2%''|2%|2%|2%|2%|2%|2%|2%|
|~|COLOR(#66CC66):ペイロード＋上昇|-|-|-|-|''+200''|+200|+200|+200|+200|+200|
|~|COLOR(#66CC66):キャパシティ＋上昇|-|-|-|-|-|''+150''|+150|+150|+150|+150|
|||||||||||||
|[[鳥種族アドバンテージ>Iris/Find/Vector#BirdAdvantage]]|&aname(tb_BirdAdvantage);COLOR(#555555):鳥系被攻撃ダメージ減少|''2%''|2%|2%|2%|2%|2%|''5%''|5%|''10%''|10%|
|~|COLOR(#555555):被物理ダメージ％減少|-|''4%''|4%|''6%''|6%|6%|6%|''8%''|8%|''10%''|
|~|COLOR(#0088CC):鳥系クリティカル率上昇|-|-|''2%''|2%|2%|2%|2%|2%|2%|2%|
|~|COLOR(#66CC66):ペイロード＋上昇|-|-|-|-|''+200''|+200|+200|+200|+200|+200|
|~|COLOR(#66CC66):キャパシティ＋上昇|-|-|-|-|-|''+150''|+150|+150|+150|+150|
|||||||||||||
|[[動物種族アドバンテージ>Iris/Find/Vector#AnimalAdvantage]]|&aname(tb_AnimalAdvantage);COLOR(#555555):動物系被攻撃ダメージ減少|''2%''|2%|2%|2%|2%|2%|''5%''|5%|''10%''|10%|
|~|COLOR(#555555):被物理ダメージ％減少|-|''4%''|4%|''6%''|6%|6%|6%|''8%''|8%|''10%''|
|~|COLOR(#0088CC):動物系クリティカル率上昇|-|-|''2%''|2%|2%|2%|2%|2%|2%|2%|
|~|COLOR(#66CC66):ペイロード＋上昇|-|-|-|-|''+200''|+200|+200|+200|+200|+200|
|~|COLOR(#66CC66):キャパシティ＋上昇|-|-|-|-|-|''+150''|+150|+150|+150|+150|
|||||||||||||
|[[昆虫種族アドバンテージ>Iris/Find/Vector#InsectAdvantage]]|&aname(tb_InsectAdvantage);COLOR(#555555):昆虫系被攻撃ダメージ減少|''2%''|2%|2%|2%|2%|2%|''5%''|5%|''10%''|10%|
|~|COLOR(#555555):被物理ダメージ％減少|-|''4%''|4%|''6%''|6%|6%|6%|''8%''|8%|''10%''|
|~|COLOR(#0088CC):昆虫系クリティカル率上昇|-|-|''2%''|2%|2%|2%|2%|2%|2%|2%|
|~|COLOR(#66CC66):ペイロード＋上昇|-|-|-|-|''+200''|+200|+200|+200|+200|+200|
|~|COLOR(#66CC66):キャパシティ＋上昇|-|-|-|-|-|''+150''|+150|+150|+150|+150|
|||||||||||||
|[[水中生物種族アドバンテージ>Iris/Find/Vector#WaterAnimalAdvantage]]|&aname(tb_WaterAnimalAdvantage);COLOR(#555555):水中生物系被攻撃ダメージ減少|''2%''|2%|2%|2%|2%|2%|''5%''|5%|''10%''|10%|
|~|COLOR(#555555):被物理ダメージ％減少|-|''4%''|4%|''6%''|6%|6%|6%|''8%''|8%|''10%''|
|~|COLOR(#0088CC):水中生物系クリティカル率上昇|-|-|''2%''|2%|2%|2%|2%|2%|2%|2%|
|~|COLOR(#66CC66):ペイロード＋上昇|-|-|-|-|''+200''|+200|+200|+200|+200|+200|
|~|COLOR(#66CC66):キャパシティ＋上昇|-|-|-|-|-|''+150''|+150|+150|+150|+150|
|||||||||||||
|[[魔法生物種族アドバンテージ>Iris/Find/Vector#MagicCreatureAdvantage]]|&aname(tb_MagicCreatureAdvantage);COLOR(#555555):魔法生物系被攻撃ダメージ減少|''2%''|2%|''4%''|4%|4%|4%|''6%''|6%|''10%''|10%|
|~|COLOR(#555555):被魔法ダメージ％減少|-|''5%''|5%|''8%''|8%|8%|8%|''10%''|10%|''15%''|
|~|COLOR(#66CC66):ペイロード＋上昇|-|-|-|-|''+200''|+200|+200|+200|+200|+200|
|~|COLOR(#66CC66):キャパシティ＋上昇|-|-|-|-|-|''+150''|+150|+150|+150|+150|
|||||||||||||
|[[死霊種族アドバンテージ>Iris/Find/Vector#UndeadAdvantage]]|&aname(tb_UndeadAdvantage);COLOR(#555555):死霊系被攻撃ダメージ減少|''2%''|2%|''4%''|4%|4%|4%|''6%''|6%|''10%''|10%|
|~|COLOR(#555555):被魔法ダメージ％減少|-|''5%''|5%|''8%''|8%|8%|8%|''10%''|10%|''15%''|
|~|COLOR(#66CC66):ペイロード＋上昇|-|-|-|-|''+200''|+200|+200|+200|+200|+200|
|~|COLOR(#66CC66):キャパシティ＋上昇|-|-|-|-|-|''+150''|+150|+150|+150|+150|
|||||||||||||
|[[機械種族アドバンテージ>Iris/Find/Vector#MachineAdvantage]]|&aname(tb_MachineAdvantage);COLOR(#555555):機械系被攻撃ダメージ減少|''2%''|2%|2%|2%|2%|2%|''5%''|5%|''10%''|10%|
|~|COLOR(#555555):被物理ダメージ％減少|-|''4%''|4%|''6%''|6%|6%|6%|''8%''|8%|''10%''|
|~|COLOR(#0088CC):機械系クリティカル率上昇|-|-|''2%''|2%|2%|2%|2%|2%|2%|2%|
|~|COLOR(#66CC66):ペイロード＋上昇|-|-|-|-|''+200''|+200|+200|+200|+200|+200|
|~|COLOR(#66CC66):キャパシティ＋上昇|-|-|-|-|-|''+150''|+150|+150|+150|+150|
|||||||||||||
|[[人間種族アドバンテージ>Iris/Find/Vector#HumanAdvantage]]|&aname(tb_HumanAdvantage);COLOR(#555555):人間系被攻撃ダメージ減少|''2%''|2%|2%|2%|2%|2%|''5%''|5%|''10%''|10%|
|~|COLOR(#555555):被物理ダメージ％減少|-|''4%''|4%|''6%''|6%|6%|6%|''8%''|8%|''10%''|
|~|COLOR(#0088CC):人間系クリティカル率上昇|-|-|''2%''|2%|2%|2%|2%|2%|2%|2%|
|~|COLOR(#66CC66):ペイロード＋上昇|-|-|-|-|''+200''|+200|+200|+200|+200|+200|
|~|COLOR(#66CC66):キャパシティ＋上昇|-|-|-|-|-|''+150''|+150|+150|+150|+150|
|||||||||||||
|[[精霊種族アドバンテージ>Iris/Find/Vector#ElementAdvantage]]|&aname(tb_ElementAdvantage);COLOR(#555555):精霊系被攻撃ダメージ減少|''2%''|2%|''4%''|4%|4%|4%|''6%''|6%|''10%''|10%|
|~|COLOR(#555555):被魔法ダメージ％減少|-|''5%''|5%|''8%''|8%|8%|8%|''10%''|10%|''15%''|
|~|COLOR(#66CC66):ペイロード＋上昇|-|-|-|-|''+200''|+200|+200|+200|+200|+200|
|~|COLOR(#66CC66):キャパシティ＋上昇|-|-|-|-|-|''+150''|+150|+150|+150|+150|
|||||||||||||
|[[岩種族アドバンテージ>Iris/Find/Vector#RockAdvantage]]|&aname(tb_RockAdvantage);COLOR(#555555):岩系被攻撃ダメージ減少|''2%''|2%|2%|2%|2%|2%|''5%''|5%|''10%''|10%|
|~|COLOR(#555555):被物理ダメージ％減少|-|''4%''|4%|''6%''|6%|6%|6%|''8%''|8%|''10%''|
|~|COLOR(#0088CC):岩系クリティカル率上昇|-|-|''2%''|2%|2%|2%|2%|2%|2%|2%|
|~|COLOR(#66CC66):ペイロード＋上昇|-|-|-|-|''+200''|+200|+200|+200|+200|+200|
|~|COLOR(#66CC66):キャパシティ＋上昇|-|-|-|-|-|''+150''|+150|+150|+150|+150|
|||||||||||||
|[[植物種族ボーナス>Iris/Find/Vector#PlantBonus]]|&aname(tb_PlantBonus);植物系基本経験値上昇|''1''|1|''2''|2|''3''|3|''4''|4|''5''|5|
|~|COLOR(#0088CC):植物系クリティカル率上昇|-|''1''|1|''2''|2|''3''|3|''4''|4|''5''|
|||||||||||||
|[[鳥種族ボーナス>Iris/Find/Vector#BirdBonus]]|&aname(tb_BirdBonus);鳥系基本本経験値上昇|''1''|1|''2''|2|''3''|3|''4''|4|''5''|5|
|~|COLOR(#0088CC):鳥系クリティカル率上昇|-|''1''|1|''2''|2|''3''|3|''4''|4|''5''|
|||||||||||||
|[[動物種族ボーナス>Iris/Find/Vector#AnimalBonus]]|&aname(tb_AnimalBonus);動物系基本本経験値上昇|''1''|1|''2''|2|''3''|3|''4''|4|''5''|5|
|~|COLOR(#0088CC):動物系クリティカル率上昇|-|''1''|1|''2''|2|''3''|3|''4''|4|''5''|
|||||||||||||
|[[昆虫種族ボーナス>Iris/Find/Vector#InsectBonus]]|&aname(tb_InsectBonus);昆虫系基本本経験値上昇|''1''|1|''2''|2|''3''|3|''4''|4|''5''|5|
|~|COLOR(#0088CC):昆虫系クリティカル率上昇|-|''1''|1|''2''|2|''3''|3|''4''|4|''5''|
|||||||||||||
|[[水中生物種族ボーナス>Iris/Find/Vector#WaterAnimalBonus]]|&aname(tb_WaterAnimalBonus);水中生物系基本本経験値上昇|''1''|1|''2''|2|''3''|3|''4''|4|''5''|5|
|~|COLOR(#0088CC):水中生物系クリティカル率上昇|-|''1''|1|''2''|2|''3''|3|''4''|4|''5''|
|||||||||||||
|[[魔法生物種族ボーナス>Iris/Find/Vector#MagicCreatureBonus]]|&aname(tb_MagicCreatureBonus);魔法生物系基本本経験値上昇|''1''|1|''2''|2|''3''|3|''4''|4|''5''|5|
|~|COLOR(#0088CC):魔法生物系クリティカル率上昇|-|''1''|1|''2''|2|''3''|3|''4''|4|''5''|
|||||||||||||
|[[死霊種族ボーナス>Iris/Find/Vector#UndeadBonus]]|&aname(tb_UndeadBonus);死霊系基本本経験値上昇|''1''|1|''2''|2|''3''|3|''4''|4|''5''|5|
|~|COLOR(#0088CC):死霊系クリティカル率上昇|-|''1''|1|''2''|2|''3''|3|''4''|4|''5''|
|||||||||||||
|[[機械種族ボーナス>Iris/Find/Vector#MachineBonus]]|&aname(tb_MachineBonus);機械系基本本経験値上昇|''1''|1|''2''|2|''3''|3|''4''|4|''5''|5|
|~|COLOR(#0088CC):機械系クリティカル率上昇|-|''1''|1|''2''|2|''3''|3|''4''|4|''5''|
|||||||||||||
|[[人間種族ボーナス>Iris/Find/Vector#HumanBonus]]|&aname(tb_HumanBonus);人間系基本本経験値上昇|''1''|1|''2''|2|''3''|3|''4''|4|''5''|5|
|~|COLOR(#0088CC):人間系クリティカル率上昇|-|''1''|1|''2''|2|''3''|3|''4''|4|''5''|
|||||||||||||
